ID,X,Y,Ti,Hi,Di,Mi
WF-1-BJ150,498081.5439089619,5404296.216488899,21.815335790684834,82.74766289082996,287.31625035148784,21.2787519287708
WF-1-BJ151,498056.49418196076,5404296.216488899,21.955187409789165,82.3980335901987,289.2186409901585,21.397103600348423
WF-1-BJ152,498031.4444549596,5404296.216488899,22.21382175009979,82.14035441353877,290.3653814901276,21.502170116243494
WF-1-BJ153,498006.3947279584,5404296.216488899,22.48023111688593,81.88869391233138,291.46266025210133,21.60636704070206
WF-1-BJ154,497981.34500095726,5404296.216488899,22.7891438898359,81.65817684096564,292.3450682476291,21.703204789664674
WF-1-BJ155,497956.29527395614,5404296.216488899,23.229245395132743,81.49291994540168,292.5642676673545,21.777328102501258
WF-1-BJ156,497931.245546955,5404296.216488899,23.669346900430597,81.32766304983735,292.7834670870803,21.851451415338012
WF-1-BJ157,497906.1958199538,5404296.216488899,24.232027587443966,81.16448437818516,292.70499961723056,21.90599166496282
WF-1-BJ158,497881.14609295264,5404296.216488899,24.89465826966996,81.00300027217756,292.3838171628977,21.944564055715592
WF-1-BJ159,497856.0963659515,5404296.216488899,25.557288951894417,80.84151616617031,292.06263470856544,21.983136446468272
WF-1-BJ160,497831.04663895036,5404296.216488899,26.428589563866872,80.63437567729656,291.60011168575403,21.992069042919827
WF-1-BJ161,497805.9969119492,5404296.216488899,27.334713209246605,80.41961600846845,291.1140016164337,21.99605532272484
WF-1-BJ162,497780.947184948,5404296.216488899,28.262125645776592,80.20628351839116,290.62454734295665,21.996675932226008
WF-1-BJ163,497755.8974579469,5404296.216488899,29.298754899468154,80.00027281185709,290.1179364666765,21.98002981222551
WF-1-BJ164,497730.84773094574,5404296.216488899,30.33538415316212,79.79426210532256,289.61132559039527,21.96338369222497
WF-1-BJ165,497705.79800394457,5404296.216488899,31.268257382196897,79.75234390422634,288.91027098473324,21.956479285189374
WF-1-BJ166,497680.7482769434,5404296.216488899,32.08378361126046,79.89601264416977,287.9893025149753,21.960592655625224
WF-1-BJ167,497655.6985499423,5404296.216488899,32.899309840322125,80.0396813841129,287.0683340452195,21.964706026061062
WF-1-BJ168,497630.6488229411,5404296.216488899,33.26025961055777,80.91579634683349,285.05460950336567,22.033484842979576
WF-1-BJ169,497605.59909593995,5404296.216488899,33.489542338619216,82.00406269978082,282.7243706391432,22.1209938600743
WF-1-BJ170,497580.5493689388,5404296.216488899,33.678358882007586,83.19693312390841,280.20365744702355,22.218246032940247
WF-1-BJ171,497555.49964193767,5404296.216488899,33.41140145378332,85.5679678191097,275.53761620836536,22.425236171906704
WF-1-BJ172,497530.4499149365,5404296.216488899,33.14444402555844,87.93900251431644,270.87157496969644,22.632226310873644
WF-1-BJ173,497505.40018793533,5404296.216488899,32.86492613279297,90.74222309643393,265.16120603747805,22.88490550534202
WF-1-BJ174,497480.35046093416,5404296.216488899,32.56557011977071,94.22804228548303,257.80141575582024,23.14
WF-1-BJ175,497455.30073393305,5404296.216488899,32.266214106749146,97.71386147452391,250.4416254741798,23.14
WF-1-BJ176,497430.2510069319,5404296.216488899,32.23210925745038,101.78760337089211,241.05642865557817,23.14
WF-1-BJ177,497405.2012799307,5404296.216488899,32.31505559349445,106.12078635251562,230.77745164531822,23.14
WF-1-BJ178,497380.15155292954,5404296.216488899,32.39800192953852,110.45396933413927,220.49847463505807,23.14
WF-1-BJ179,497355.10182592843,5404296.216488899,33.10135376249828,115.5479352678307,206.91284271036426,23.14
WF-1-BJ180,497330.05209892726,5404296.216488899,33.804726910710905,120.64192733972887,193.32709717900474,23.14
WF-1-BJ181,497305.0023719261,5404296.216488899,34.6994151757866,125.88835986406941,178.93133552794168,23.14
WF-1-BJ182,497279.9526449249,5404296.216488899,36.02778529577564,131.48035137644464,162.6993922982221,23.14
WF-1-BJ183,497254.9029179238,5404296.216488899,37.35615541576161,137.07234288880693,146.4674490685401,23.14
WF-1-BJ184,497229.85319092264,5404296.216488899,38.70477470284313,142.00929395159878,131.79533888543784,23.14
WF-1-BJ185,497204.8034639215,5404296.216488899,40.06621841930572,146.53138745757968,118.11111964428294,23.14
WF-1-BJ186,497179.7537369203,5404296.216488899,41.4276621357683,151.0534809635605,104.42690040312819,23.14
WF-1-BJ187,497154.7040099192,5404296.216488899,41.70867301662435,151.98071519147237,101.57408233663593,23.14
WF-1-BJ188,497129.654282918,5404296.216488899,41.89366896192584,152.58848469141915,99.6838195086347,23.14
WF-1-BJ189,497104.60455591686,5404296.216488899,41.75302583051003,152.26028646849426,100.57539478464506,23.14
WF-1-BJ190,497079.5548289157,5404296.216488899,40.48767997805321,148.6994128082959,111.0749720136692,23.14
WF-1-BJ191,497054.5051019146,5404296.216488899,39.222334125599296,145.13853914810582,121.57454924266925,23.14
WF-1-BJ192,497029.4553749134,5404296.216488899,37.743081522078725,140.8629360143241,133.7820312914744,23.14
WF-1-BJ193,497004.40564791224,5404296.216488899,36.07464438003225,135.9552080646666,147.50002754130253,23.14
WF-1-BJ194,496979.35592091107,5404296.216488899,34.40620723798574,131.0474801150091,161.2180237911308,23.14
WF-1-BJ195,496954.30619390996,5404296.216488899,33.06363728938698,126.5806876842551,172.75701972408868,23.14
WF-1-BJ196,496929.2564669088,5404296.216488899,31.78461809066568,122.19988667403977,183.87106614723874,23.14
