ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ91,494453.38,5403525.89,168.1551,0.082883,green,40.76,246.42,0.6213,13.00,0.0,0.0,0.0
WF-1-BJ92,494428.33,5403525.90,167.1074,0.077206,green,39.44,246.10,0.5959,13.00,0.0,0.0,0.0
WF-1-BJ93,494403.29,5403525.90,166.1522,0.072031,green,38.33,245.71,0.5741,13.00,0.0,0.0,0.0
WF-1-BJ94,494378.24,5403525.91,165.3168,0.067505,green,37.41,245.28,0.5562,13.00,0.0,0.0,0.0
WF-1-BJ95,494353.20,5403525.91,164.6271,0.063768,green,36.71,244.88,0.5421,13.00,0.0,0.0,0.0
WF-1-BJ96,494328.15,5403525.92,164.1055,0.060942,green,36.19,244.54,0.5319,13.00,0.0,0.0,0.0
WF-1-BJ97,494303.11,5403525.92,163.7918,0.059243,green,35.89,244.34,0.5257,13.00,0.0,0.0,0.0
WF-1-BJ98,494278.07,5403525.93,163.6817,0.058646,green,35.76,244.29,0.5228,13.00,0.0,0.0,0.0
WF-1-BJ99,494253.02,5403525.93,163.7446,0.058987,green,35.76,244.41,0.5222,13.00,0.0,0.0,0.0
WF-1-BJ100,494227.98,5403525.94,163.9548,0.060126,green,35.87,244.66,0.5234,13.00,0.0,0.0,0.0
WF-1-BJ101,494202.93,5403525.94,164.2789,0.061882,green,36.06,245.03,0.5258,13.00,0.0,0.0,0.0
WF-1-BJ102,494177.89,5403525.95,164.6793,0.064051,green,36.30,245.48,0.5287,13.00,0.0,0.0,0.0
WF-1-BJ103,494152.84,5403525.95,165.1175,0.066425,green,36.56,245.97,0.5317,13.00,0.0,0.0,0.0
WF-1-BJ104,494127.80,5403525.96,165.5535,0.068787,green,36.84,246.44,0.5344,13.00,0.0,0.0,0.0
WF-1-BJ105,494102.75,5403525.96,165.9536,0.070955,green,37.10,246.86,0.5365,13.00,0.0,0.0,0.0
WF-1-BJ106,494077.71,5403525.97,166.3030,0.072848,green,37.35,247.20,0.5380,13.00,0.0,0.0,0.0
WF-1-BJ107,494052.66,5403525.97,166.5935,0.074422,green,37.58,247.46,0.5390,13.00,0.0,0.0,0.0
WF-1-BJ108,494027.62,5403525.98,166.8219,0.075660,green,37.78,247.63,0.5395,13.00,0.0,0.0,0.0
WF-1-BJ109,494002.58,5403525.98,166.9899,0.076569,green,37.97,247.72,0.5394,13.00,0.0,0.0,0.0
WF-1-BJ110,493977.53,5403525.99,167.1023,0.077178,green,38.13,247.72,0.5390,13.00,0.0,0.0,0.0
WF-1-BJ111,493952.49,5403525.99,167.1616,0.077500,green,38.27,247.66,0.5383,13.00,0.0,0.0,0.0
WF-1-BJ112,493927.44,5403526.00,167.1852,0.077628,green,38.40,247.55,0.5375,13.00,0.0,0.0,0.0
WF-1-BJ113,493902.40,5403526.00,167.1854,0.077629,green,38.50,247.42,0.5366,13.00,0.0,0.0,0.0
WF-1-BJ114,493877.35,5403526.01,167.1714,0.077553,green,38.59,247.29,0.5357,13.00,0.0,0.0,0.0
WF-1-BJ115,493852.31,5403526.01,167.1517,0.077446,green,38.67,247.16,0.5349,13.00,0.0,0.0,0.0
WF-1-BJ116,493827.26,5403551.55,167.5071,0.079372,green,38.67,247.81,0.5370,13.00,0.0,0.0,0.0
WF-1-BJ117,493827.26,5403577.08,167.8887,0.081439,green,38.62,248.58,0.5392,13.00,0.0,0.0,0.0
WF-1-BJ118,493827.26,5403602.61,168.2754,0.083534,green,38.59,249.34,0.5409,13.00,0.0,0.0,0.0
WF-1-BJ119,493827.26,5403628.15,168.6641,0.085640,green,38.56,250.10,0.5422,13.00,0.0,0.0,0.0
WF-1-BJ120,493827.26,5403653.68,169.0510,0.087736,green,38.54,250.84,0.5430,13.00,0.0,0.0,0.0
WF-1-BJ121,493827.26,5403679.21,169.4316,0.089799,green,38.52,251.57,0.5435,13.00,0.0,0.0,0.0
WF-1-BJ122,493827.26,5403704.74,169.8013,0.091801,green,38.50,252.28,0.5435,13.00,0.0,0.0,0.0
WF-1-ZX1,493929.39,5403628.13,322.2079,0.917521,red,38.36,250.74,0.5422,13.00,0.0,204.3,0.0
WF-1-ZX2,493954.39,5403628.13,322.2375,0.917682,red,38.30,250.87,0.5422,13.00,0.0,204.3,0.0
WF-1-ZX3,493979.39,5403628.12,322.2483,0.917740,red,38.24,250.96,0.5423,13.00,0.0,204.3,0.0
WF-1-ZX4,494004.39,5403628.12,322.2303,0.917642,red,38.18,251.01,0.5423,13.00,0.0,204.3,0.0
WF-1-ZX5,494029.39,5403628.11,322.1810,0.917375,red,38.11,251.00,0.5424,13.00,0.0,204.3,0.0
WF-1-ZX6,494054.39,5403628.11,322.0986,0.916929,red,38.04,250.93,0.5426,13.00,0.0,204.3,0.0
WF-1-ZX7,494079.39,5403628.11,321.9822,0.916299,red,37.97,250.81,0.5429,13.00,0.0,204.3,0.0
WF-1-ZX8,494104.39,5403628.10,321.8335,0.915493,red,37.90,250.61,0.5433,13.00,0.0,204.3,0.0
WF-1-ZX9,494129.39,5403628.10,321.6573,0.914538,red,37.83,250.37,0.5439,13.00,0.0,204.3,0.0
WF-1-ZX10,494154.39,5403628.09,321.4617,0.913479,red,37.77,250.07,0.5447,13.00,0.0,204.3,0.0
WF-1-ZX11,494179.39,5403628.09,321.2638,0.912407,red,37.74,249.75,0.5459,13.00,0.0,204.3,0.0
WF-1-ZX12,494204.39,5403628.09,321.0875,0.911451,red,37.73,249.43,0.5476,13.00,0.0,204.3,0.0
WF-1-ZX13,494229.39,5403628.08,320.9537,0.910726,red,37.76,249.14,0.5501,13.00,0.0,204.3,0.0
WF-1-ZX14,494254.39,5403628.08,320.8826,0.910341,red,37.85,248.90,0.5535,13.00,0.0,204.3,0.0
WF-1-ZX15,494279.39,5403628.07,320.8920,0.910392,red,38.01,248.72,0.5581,13.00,0.0,204.3,0.0
WF-1-ZX16,494304.39,5403628.07,320.9959,0.910955,red,38.26,248.60,0.5641,13.00,0.0,204.3,0.0
WF-1-ZX17,494329.39,5403628.07,321.2064,0.912096,red,38.61,248.56,0.5721,13.00,0.0,204.3,0.0
WF-1-ZX18,494354.39,5403628.06,321.5443,0.913926,red,39.10,248.58,0.5826,13.00,0.0,204.3,0.0
WF-1-ZX19,494379.39,5403628.06,321.9866,0.916322,red,39.73,248.63,0.5955,13.00,0.0,204.3,0.0
WF-1-ZX20,494404.39,5403628.06,322.5264,0.919247,red,40.50,248.68,0.6110,13.00,0.0,204.3,0.0
WF-1-ZX21,494429.39,5403628.05,323.1548,0.922651,red,41.43,248.70,0.6292,13.00,0.0,204.3,0.0
WF-1-ZX22,494454.39,5403628.05,323.8605,0.926475,red,42.52,248.66,0.6501,13.00,0.0,204.3,0.0
WF-1-ZX23,494479.39,5403628.04,324.6306,0.930647,red,43.77,248.54,0.6737,13.00,0.0,204.3,0.0
WF-1-ZX24,494504.39,5403628.04,325.4520,0.935097,red,45.20,248.30,0.7000,13.00,0.0,204.3,0.0
WF-1-ZX25,494529.39,5403628.04,326.3050,0.939719,red,46.81,247.90,0.7287,13.00,0.0,204.3,0.0
WF-1-ZX26,494554.39,5403628.03,327.1632,0.944368,red,48.54,247.34,0.7591,13.00,0.0,204.3,0.0
WF-1-ZX27,494579.39,5403628.03,328.0060,0.948935,red,50.38,246.64,0.7905,13.00,0.0,204.3,0.0
