ID,X,Y,厚度Ti,弹模Ei,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ101,494202.93,5403525.94,36.06,25.0,245.03,0.5258,13.00,0.0,0.0,0.0
WF-1-BJ102,494177.89,5403525.95,36.30,25.0,245.48,0.5287,13.00,0.0,0.0,0.0
WF-1-BJ103,494152.84,5403525.95,36.56,25.0,245.97,0.5317,13.00,0.0,0.0,0.0
WF-1-BJ104,494127.80,5403525.96,36.84,25.0,246.44,0.5344,13.00,0.0,0.0,0.0
WF-1-BJ105,494102.75,5403525.96,37.10,25.0,246.86,0.5365,13.00,0.0,0.0,0.0
WF-1-BJ106,494077.71,5403525.97,37.35,25.0,247.20,0.5380,13.00,0.0,0.0,0.0
WF-1-BJ107,494052.66,5403525.97,37.58,25.0,247.46,0.5390,13.00,0.0,0.0,0.0
WF-1-BJ108,494027.62,5403525.98,37.78,25.0,247.63,0.5395,13.00,0.0,0.0,0.0
WF-1-BJ109,494002.58,5403525.98,37.97,25.0,247.72,0.5394,13.00,0.0,0.0,0.0
WF-1-BJ110,493977.53,5403525.99,38.13,25.0,247.72,0.5390,13.00,0.0,0.0,0.0
WF-1-BJ111,493952.49,5403525.99,38.27,25.0,247.66,0.5383,13.00,0.0,0.0,0.0
WF-1-BJ112,493927.44,5403526.00,38.40,25.0,247.55,0.5375,13.00,0.0,0.0,0.0
WF-1-BJ113,493902.40,5403526.00,38.50,25.0,247.42,0.5366,13.00,0.0,0.0,0.0
WF-1-BJ114,493877.35,5403526.01,38.59,25.0,247.29,0.5357,13.00,0.0,0.0,0.0
WF-1-BJ115,493852.31,5403526.01,38.67,25.0,247.16,0.5349,13.00,0.0,0.0,0.0
WF-1-BJ116,493827.26,5403551.55,38.67,25.0,247.81,0.5370,13.00,0.0,0.0,0.0
WF-1-BJ117,493827.26,5403577.08,38.62,25.0,248.58,0.5392,13.00,0.0,0.0,0.0
WF-1-BJ118,493827.26,5403602.61,38.59,25.0,249.34,0.5409,13.00,0.0,0.0,0.0
WF-1-BJ119,493827.26,5403628.15,38.56,25.0,250.10,0.5422,13.00,0.0,0.0,0.0
WF-1-BJ120,493827.26,5403653.68,38.54,25.0,250.84,0.5430,13.00,0.0,0.0,0.0
WF-1-BJ121,493827.26,5403679.21,38.52,25.0,251.57,0.5435,13.00,0.0,0.0,0.0
WF-1-BJ122,493827.26,5403704.74,38.50,25.0,252.28,0.5435,13.00,0.0,0.0,0.0
WF-1-ZX1,493929.39,5403628.13,38.36,25.0,250.74,0.5422,13.00,0.0,204.3,0.0
WF-1-ZX2,493954.39,5403628.13,38.30,25.0,250.87,0.5422,13.00,0.0,204.3,0.0
WF-1-ZX3,493979.39,5403628.12,38.24,25.0,250.96,0.5423,13.00,0.0,204.3,0.0
WF-1-ZX4,494004.39,5403628.12,38.18,25.0,251.01,0.5423,13.00,0.0,204.3,0.0
WF-1-ZX5,494029.39,5403628.11,38.11,25.0,251.00,0.5424,13.00,0.0,204.3,0.0
WF-1-ZX6,494054.39,5403628.11,38.04,25.0,250.93,0.5426,13.00,0.0,204.3,0.0
WF-1-ZX7,494079.39,5403628.11,37.97,25.0,250.81,0.5429,13.00,0.0,204.3,0.0
WF-1-ZX8,494104.39,5403628.10,37.90,25.0,250.61,0.5433,13.00,0.0,204.3,0.0
WF-1-ZX9,494129.39,5403628.10,37.83,25.0,250.37,0.5439,13.00,0.0,204.3,0.0
WF-1-ZX10,494154.39,5403628.09,37.77,25.0,250.07,0.5447,13.00,0.0,204.3,0.0
WF-1-ZX11,494179.39,5403628.09,37.74,25.0,249.75,0.5459,13.00,0.0,204.3,0.0
WF-1-ZX12,494204.39,5403628.09,37.73,25.0,249.43,0.5476,13.00,0.0,204.3,0.0
WF-1-ZX13,494229.39,5403628.08,37.76,25.0,249.14,0.5501,13.00,0.0,204.3,0.0
WF-1-ZX14,494254.39,5403628.08,37.85,25.0,248.90,0.5535,13.00,0.0,204.3,0.0
WF-1-ZX15,494279.39,5403628.07,38.01,25.0,248.72,0.5581,13.00,0.0,204.3,0.0
WF-1-ZX16,494304.39,5403628.07,38.26,25.0,248.60,0.5641,13.00,0.0,204.3,0.0
WF-1-ZX17,494329.39,5403628.07,38.61,25.0,248.56,0.5721,13.00,0.0,204.3,0.0
WF-1-ZX18,494354.39,5403628.06,39.10,25.0,248.58,0.5826,13.00,0.0,204.3,0.0
WF-1-ZX19,494379.39,5403628.06,39.73,25.0,248.63,0.5955,13.00,0.0,204.3,0.0
WF-1-ZX20,494404.39,5403628.06,40.50,25.0,248.68,0.6110,13.00,0.0,204.3,0.0
WF-1-ZX21,494429.39,5403628.05,41.43,25.0,248.70,0.6292,13.00,0.0,204.3,0.0
WF-1-ZX22,494454.39,5403628.05,42.52,25.0,248.66,0.6501,13.00,0.0,204.3,0.0
WF-1-ZX23,494479.39,5403628.04,43.77,25.0,248.54,0.6737,13.00,0.0,204.3,0.0
WF-1-ZX24,494504.39,5403628.04,45.20,25.0,248.30,0.7000,13.00,0.0,204.3,0.0
WF-1-ZX25,494529.39,5403628.04,46.81,25.0,247.90,0.7287,13.00,0.0,204.3,0.0
WF-1-ZX26,494554.39,5403628.03,48.54,25.0,247.34,0.7591,13.00,0.0,204.3,0.0
WF-1-ZX27,494579.39,5403628.03,50.38,25.0,246.64,0.7905,13.00,0.0,204.3,0.0
WF-1-ZX28,494604.39,5403628.02,52.28,25.0,245.78,0.8224,13.00,0.0,204.3,0.0
WF-1-ZX29,494629.39,5403628.02,54.19,25.0,244.82,0.8538,13.00,0.0,204.3,0.0
WF-1-ZX30,494654.39,5403628.02,56.04,25.0,243.77,0.8838,13.00,0.0,204.3,0.0
WF-1-ZX31,494679.39,5403628.01,57.74,25.0,242.72,0.9108,13.00,0.0,204.3,0.0
WF-1-ZX32,494704.39,5403628.01,59.14,25.0,241.78,0.9329,13.00,0.0,204.3,0.0
WF-1-ZX33,494729.39,5403628.00,60.17,25.0,241.06,0.9491,13.00,0.0,204.3,0.0
WF-1-ZX34,494754.39,5403628.00,60.77,25.0,240.66,0.9583,13.00,0.0,204.3,0.0
WF-1-ZX35,494779.39,5403628.00,60.87,25.0,240.68,0.9596,13.00,0.0,204.3,0.0
WF-1-ZX36,494804.39,5403627.99,60.48,25.0,241.18,0.9527,13.00,0.0,204.3,0.0
WF-1-ZX37,494829.39,5403627.99,59.62,25.0,242.19,0.9377,13.00,0.0,204.3,0.0
WF-1-ZX38,494854.39,5403627.98,58.33,25.0,243.76,0.9145,13.00,0.0,204.3,0.0
WF-1-ZX39,494879.39,5403627.98,56.79,25.0,245.78,0.8853,13.00,0.0,204.3,0.0
WF-1-ZX40,494904.39,5403627.98,55.19,25.0,248.10,0.8522,13.00,0.0,204.3,0.0
WF-1-ZX41,494929.39,5403627.97,53.65,25.0,250.60,0.8167,13.00,0.0,204.3,0.0
WF-1-ZX42,494954.39,5403627.97,52.28,25.0,253.17,0.7801,13.00,0.0,204.3,0.0
WF-1-ZX43,494979.39,5403627.96,51.20,25.0,255.70,0.7438,13.00,0.0,204.3,0.0
WF-1-ZX44,495004.39,5403627.96,50.45,25.0,258.11,0.7085,13.00,0.0,204.3,0.0
WF-1-ZX45,495029.39,5403627.96,50.15,25.0,260.29,0.6753,13.00,0.0,204.3,0.0
WF-1-ZX46,495054.39,5403627.95,50.26,25.0,262.19,0.6447,13.00,0.0,204.3,0.0
WF-1-ZX47,495079.39,5403627.95,50.71,25.0,263.81,0.6169,13.00,0.0,204.3,0.0
