ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ76,498111.02,5404171.90,162.9645,0.299989,green,21.62,87.01,262.7081,13.00,65.0,0.0,0.0
WF-1-BJ77,498136.09,5404171.90,163.2457,0.301302,green,21.72,88.12,258.6663,13.00,65.0,0.0,0.0
WF-1-BJ78,498161.16,5404171.90,163.5361,0.302658,green,21.82,89.26,254.5382,13.00,65.0,0.0,0.0
WF-1-BJ79,498186.23,5404171.90,163.8266,0.304015,green,21.92,90.39,250.4102,13.00,65.0,0.0,0.0
WF-1-BJ80,498211.30,5404171.90,163.9013,0.304364,green,21.95,90.71,249.2357,13.00,65.0,0.0,0.0
WF-1-BJ81,498236.38,5404171.90,163.9389,0.304539,green,21.97,90.88,248.5697,13.00,65.0,0.0,0.0
WF-1-BJ82,498261.45,5404171.90,163.8663,0.304200,green,21.96,90.79,248.6396,13.00,65.0,0.0,0.0
WF-1-BJ83,498286.52,5404171.90,163.2216,0.301189,green,21.85,89.32,252.5290,13.00,65.0,0.0,0.0
WF-1-BJ84,498311.59,5404171.90,162.5770,0.298179,green,21.74,87.86,256.4185,13.00,65.0,0.0,0.0
WF-1-BJ85,498336.66,5404171.90,161.6148,0.293685,green,21.61,85.92,260.9251,13.00,65.0,0.0,0.0
WF-1-BJ86,498361.73,5404171.90,160.2944,0.287518,green,21.46,83.44,266.1278,13.00,65.0,0.0,0.0
WF-1-BJ87,498386.80,5404171.90,158.9740,0.281352,green,21.32,80.97,271.3305,13.00,65.0,0.0,0.0
WF-1-BJ88,498411.87,5404171.90,157.3142,0.273600,green,21.23,78.25,275.7470,13.00,65.0,0.0,0.0
WF-1-BJ89,498436.94,5404171.90,155.5578,0.265397,green,21.17,75.45,279.9396,13.00,65.0,0.0,0.0
WF-1-BJ90,498462.01,5404171.90,153.7832,0.257109,green,21.11,72.65,284.0078,13.00,65.0,0.0,0.0
WF-1-BJ91,498487.08,5404171.90,151.8176,0.247929,green,21.20,69.80,286.7666,13.00,65.0,0.0,0.0
WF-1-BJ92,498512.15,5404171.90,149.8520,0.238749,green,21.29,66.96,289.5255,13.00,65.0,0.0,0.0
WF-1-BJ93,498537.23,5404171.90,147.9245,0.229747,green,21.49,64.18,291.7380,13.00,65.0,0.0,0.0
WF-1-BJ94,498562.30,5404171.90,146.0555,0.221018,green,21.87,61.50,293.1144,13.00,65.0,0.0,0.0
WF-1-BJ95,498587.37,5404171.90,144.1865,0.212289,green,22.24,58.82,294.4908,13.00,65.0,0.0,0.0
WF-1-BJ96,498612.44,5404171.90,142.6479,0.205103,green,22.92,56.46,294.9087,13.00,65.0,0.0,0.0
WF-1-BJ97,498637.51,5404171.90,141.2485,0.198568,green,23.73,54.24,294.9227,13.00,65.0,0.0,0.0
WF-1-BJ98,498662.58,5404171.90,139.8571,0.192070,green,24.55,52.02,294.9256,13.00,65.0,0.0,0.0
WF-1-BJ99,498687.65,5404171.90,139.1285,0.188667,green,25.61,50.53,294.0133,13.00,65.0,0.0,0.0
WF-1-BJ100,498712.72,5404171.90,138.4000,0.185264,green,26.67,49.04,293.1010,13.00,65.0,0.0,0.0
WF-1-BJ101,498737.79,5404171.90,137.8871,0.182869,green,27.55,47.90,292.3062,13.00,65.0,0.0,0.0
WF-1-BJ102,498762.86,5404171.90,137.8317,0.182610,green,28.08,47.53,291.7604,13.00,65.0,0.0,0.0
WF-1-BJ103,498787.93,5404171.90,137.7763,0.182352,green,28.60,47.15,291.2147,13.00,65.0,0.0,0.0
WF-1-BJ104,498813.01,5404171.90,138.1547,0.184119,green,28.60,47.54,291.2821,13.00,65.0,0.0,0.0
WF-1-BJ105,498838.08,5404171.90,138.7890,0.187081,green,28.30,48.40,291.7115,13.00,65.0,0.0,0.0
WF-1-BJ106,498863.15,5404171.90,139.4234,0.190044,green,28.00,49.26,292.1409,13.00,65.0,0.0,0.0
WF-1-BJ107,498888.22,5404171.90,140.5470,0.195292,green,27.46,50.79,292.8861,13.00,65.0,0.0,0.0
WF-1-BJ108,498913.29,5404171.90,141.7035,0.200693,green,26.90,52.37,293.6525,13.00,65.0,0.0,0.0
WF-1-BJ109,498938.36,5404144.61,142.3112,0.203531,green,27.44,52.83,292.5256,13.00,65.0,0.0,0.0
WF-1-BJ110,498938.36,5404117.31,141.7310,0.200821,green,28.48,51.72,290.7126,13.00,65.0,0.0,0.0
WF-1-BJ111,498938.36,5404090.01,141.5526,0.199988,green,28.90,51.37,289.8099,13.00,65.0,0.0,0.0
WF-1-BJ112,498938.36,5404062.72,141.3742,0.199155,green,29.33,51.01,288.9072,13.00,65.0,0.0,0.0
WF-1-BJ113,498938.36,5404035.42,141.8153,0.201215,green,29.16,51.70,288.6325,13.00,65.0,0.0,0.0
WF-1-BJ114,498938.36,5404008.12,142.3059,0.203506,green,28.94,52.47,288.4080,13.00,65.0,0.0,0.0
WF-1-BJ115,498938.36,5403980.83,143.1366,0.207386,green,28.43,53.83,288.3379,13.00,65.0,0.0,0.0
WF-1-BJ116,498938.36,5403953.53,144.0520,0.211661,green,27.85,55.33,288.3063,13.00,65.0,0.0,0.0
WF-1-BJ117,498913.29,5403926.24,144.2197,0.212444,green,27.58,55.86,287.7610,13.00,65.0,0.0,0.0
WF-1-BJ118,498888.22,5403926.24,143.4699,0.208943,green,27.94,54.83,287.3188,13.00,65.0,0.0,0.0
WF-1-BJ119,498863.15,5403926.24,142.7440,0.205552,green,28.29,53.83,286.8848,13.00,65.0,0.0,0.0
WF-1-BJ120,498838.08,5403926.24,142.3733,0.203821,green,28.41,53.39,286.5748,13.00,65.0,0.0,0.0
WF-1-BJ121,498813.01,5403926.24,142.0027,0.202090,green,28.53,52.95,286.2648,13.00,65.0,0.0,0.0
WF-1-BJ122,498787.93,5403926.24,141.8249,0.201260,green,28.49,52.84,286.0016,13.00,65.0,0.0,0.0
WF-1-BJ123,498762.86,5403926.24,141.9740,0.201956,green,28.17,53.32,285.8177,13.00,65.0,0.0,0.0
WF-1-BJ124,498737.79,5403926.24,142.1230,0.202652,green,27.85,53.79,285.6337,13.00,65.0,0.0,0.0
WF-1-BJ125,498712.72,5403926.24,142.5295,0.204551,green,27.26,54.78,285.4033,13.00,65.0,0.0,0.0
WF-1-BJ126,498687.65,5403926.24,143.0574,0.207016,green,26.54,56.02,285.1509,13.00,65.0,0.0,0.0
WF-1-BJ127,498662.58,5403926.24,143.5853,0.209481,green,25.82,57.26,284.8986,13.00,65.0,0.0,0.0
WF-1-BJ128,498637.51,5403926.24,144.1616,0.212173,green,24.97,58.72,284.3695,13.00,65.0,0.0,0.0
WF-1-BJ129,498612.44,5403926.24,144.7386,0.214868,green,24.13,60.19,283.8371,13.00,65.0,0.0,0.0
