ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ40,497229.85,5403988.22,190.8920,0.455598,green,25.17,155.19,171.3615,19.49,0.0,0.0,0.0
WF-1-BJ41,497254.90,5403988.22,191.9916,0.460844,green,25.01,157.17,170.2309,19.29,0.0,0.0,0.0
WF-1-BJ42,497279.95,5403988.22,192.0503,0.461124,green,24.87,157.29,170.9384,19.21,0.0,0.0,0.0
WF-1-BJ43,497305.00,5403988.22,192.1089,0.461403,green,24.72,157.42,171.6458,19.13,0.0,0.0,0.0
WF-1-BJ44,497330.05,5403988.22,190.6474,0.454430,green,24.56,154.80,175.3671,19.23,0.0,0.0,0.0
WF-1-BJ45,497355.10,5403988.22,188.5152,0.444257,green,24.38,150.98,180.4181,19.40,0.0,0.0,0.0
WF-1-BJ46,497380.15,5403988.22,186.3830,0.434084,green,24.21,147.15,185.4691,19.57,0.0,0.0,0.0
WF-1-BJ47,497405.20,5403988.22,182.6890,0.416459,green,23.85,140.74,193.6180,19.83,0.0,0.0,0.0
WF-1-BJ48,497430.25,5403988.22,178.9950,0.398834,green,23.49,134.33,201.7669,20.09,0.0,0.0,0.0
WF-1-BJ49,497455.30,5403988.22,175.0690,0.380103,green,23.04,127.66,210.2016,20.34,0.0,0.0,0.0
WF-1-BJ50,497480.35,5403988.22,170.6175,0.358864,green,22.38,120.42,219.2842,20.54,0.0,0.0,0.0
WF-1-BJ51,497505.40,5403988.22,166.1660,0.337625,green,21.72,113.18,228.3669,20.74,0.0,0.0,0.0
WF-1-BJ52,497530.45,5403988.22,161.5008,0.315367,green,20.83,106.02,237.0920,20.87,0.0,0.0,0.0
WF-1-BJ53,497555.50,5403988.22,156.7005,0.292463,green,19.81,98.91,245.5909,20.95,0.0,0.0,0.0
WF-1-BJ54,497580.55,5403988.22,151.9001,0.269560,green,18.78,91.79,254.0897,21.03,0.0,0.0,0.0
WF-1-BJ55,497605.60,5403988.22,147.2029,0.247148,green,17.52,85.47,261.0294,21.01,0.0,0.0,0.0
WF-1-BJ56,497630.65,5403988.22,142.5148,0.224781,green,16.23,79.21,267.8306,20.98,0.0,0.0,0.0
WF-1-BJ57,497655.70,5403988.22,138.1509,0.203960,green,15.00,73.46,273.9578,20.94,0.0,0.0,0.0
WF-1-BJ58,497680.75,5403988.22,134.9061,0.188478,green,13.97,69.50,277.7578,20.87,0.0,0.0,0.0
WF-1-BJ59,497705.80,5403988.22,131.6614,0.172997,green,12.94,65.54,281.5577,20.80,0.0,0.0,0.0
WF-1-BJ60,497730.85,5403988.22,130.0283,0.165205,green,12.43,63.54,283.4956,20.76,0.0,0.0,0.0
WF-1-BJ61,497755.90,5403988.22,129.8202,0.164213,green,12.37,63.26,283.7872,20.76,0.0,0.0,0.0
WF-1-BJ62,497780.95,5403988.22,129.6122,0.163220,green,12.31,62.99,284.0787,20.75,0.0,0.0,0.0
WF-1-BJ63,497806.00,5403988.22,131.3516,0.171519,green,12.98,64.80,282.8932,20.81,0.0,0.0,0.0
WF-1-BJ64,497831.05,5403988.22,133.4707,0.181630,green,13.80,67.02,281.4197,20.89,0.0,0.0,0.0
WF-1-BJ65,497856.10,5403988.22,135.6098,0.191836,green,14.63,69.25,279.9619,20.96,0.0,0.0,0.0
WF-1-BJ66,497881.15,5403988.22,137.8696,0.202618,green,15.57,71.53,278.5976,21.02,0.0,0.0,0.0
WF-1-BJ67,497906.20,5403988.22,140.1293,0.213399,green,16.50,73.81,277.2333,21.09,0.0,0.0,0.0
WF-1-BJ68,497931.25,5403988.22,142.0029,0.222338,green,17.32,75.71,276.0478,21.12,0.0,0.0,0.0
WF-1-BJ69,497956.30,5403988.22,143.4028,0.229018,green,17.97,77.13,275.0816,21.12,0.0,0.0,0.0
WF-1-BJ70,497981.35,5403988.22,144.8027,0.235697,green,18.63,78.55,274.1154,21.12,0.0,0.0,0.0
WF-1-BJ71,498006.39,5403988.22,145.6090,0.239544,green,19.08,79.44,273.1910,21.08,0.0,0.0,0.0
WF-1-BJ72,498031.44,5403988.22,146.2230,0.242473,green,19.46,80.16,272.2802,21.02,0.0,0.0,0.0
WF-1-BJ73,498056.49,5403988.22,146.8083,0.245266,green,19.83,80.86,271.3655,20.97,0.0,0.0,0.0
WF-1-BJ74,498081.54,5403988.22,146.9564,0.245972,green,20.04,81.19,270.3908,20.88,0.0,0.0,0.0
WF-1-BJ75,498106.59,5403988.22,147.1044,0.246679,green,20.24,81.53,269.4161,20.79,0.0,0.0,0.0
WF-1-BJ76,498131.64,5403988.22,147.1603,0.246945,green,20.40,81.75,268.5416,20.71,0.0,0.0,0.0
WF-1-BJ77,498156.69,5403988.22,147.0575,0.246455,green,20.49,81.79,267.8392,20.64,0.0,0.0,0.0
WF-1-BJ78,498181.74,5403988.22,146.9547,0.245964,green,20.59,81.82,267.1369,20.56,0.0,0.0,0.0
WF-1-BJ79,498206.79,5403988.22,146.7049,0.244773,green,20.63,81.54,266.9966,20.53,0.0,0.0,0.0
WF-1-BJ80,498231.84,5403988.22,146.3839,0.243241,green,20.65,81.12,267.1285,20.51,0.0,0.0,0.0
WF-1-BJ81,498256.89,5403988.22,146.0628,0.241709,green,20.66,80.69,267.2603,20.50,0.0,0.0,0.0
WF-1-BJ82,498281.94,5403988.22,145.5127,0.239085,green,20.65,79.72,268.3558,20.55,0.0,0.0,0.0
WF-1-BJ83,498306.99,5403988.22,144.9579,0.236438,green,20.64,78.73,269.4711,20.60,0.0,0.0,0.0
WF-1-BJ84,498332.04,5403988.22,144.3671,0.233618,green,20.65,77.62,270.7367,20.67,0.0,0.0,0.0
WF-1-BJ85,498357.09,5403988.22,143.6862,0.230370,green,20.70,76.24,272.3774,20.78,0.0,0.0,0.0
WF-1-BJ86,498382.14,5403988.22,143.0052,0.227121,green,20.76,74.85,274.0180,20.90,0.0,0.0,0.0
WF-1-BJ87,498407.19,5403988.22,142.3307,0.223902,green,20.92,73.35,275.6601,21.04,0.0,0.0,0.0
WF-1-BJ88,498432.24,5403988.22,141.6604,0.220704,green,21.16,71.76,277.3031,21.21,0.0,0.0,0.0
WF-1-BJ89,498457.29,5403988.22,140.9902,0.217507,green,21.39,70.18,278.9461,21.38,0.0,0.0,0.0
WF-1-BJ90,498482.34,5403988.22,140.3396,0.214403,green,21.87,68.41,280.3244,21.61,0.0,0.0,0.0
WF-1-BJ91,498507.39,5403988.22,139.6913,0.211310,green,22.38,66.62,281.6727,21.84,0.0,0.0,0.0
WF-1-BJ92,498532.44,5403988.22,139.0310,0.208159,green,22.96,64.77,282.9222,22.09,0.0,0.0,0.0
WF-1-BJ93,498557.49,5403988.22,138.3237,0.204784,green,23.80,62.66,283.7871,22.39,0.0,0.0,0.0
WF-1-BJ94,498582.54,5403988.22,137.6164,0.201410,green,24.65,60.55,284.6519,22.69,0.0,0.0,0.0
WF-1-BJ95,498607.59,5403988.22,136.8662,0.197830,green,25.63,58.32,285.2118,23.01,0.0,0.0,0.0
WF-1-BJ96,498632.64,5403988.22,135.8793,0.193122,green,26.75,55.97,285.4794,23.14,0.0,0.0,0.0
WF-1-BJ97,498657.69,5403988.22,134.7722,0.187839,green,27.86,53.62,285.7469,23.14,0.0,0.0,0.0
WF-1-BJ98,498682.74,5403988.22,133.8022,0.183211,green,28.89,51.59,285.6690,23.14,0.0,0.0,0.0
WF-1-BJ99,498707.79,5403988.22,132.8629,0.178730,green,29.89,49.63,285.5135,23.14,0.0,0.0,0.0
WF-1-BJ100,498732.84,5403988.22,132.0053,0.174638,green,30.82,47.84,285.3721,23.14,0.0,0.0,0.0
WF-1-BJ101,498757.89,5403988.22,131.7300,0.173324,green,31.15,47.23,285.3308,23.14,0.0,0.0,0.0
WF-1-BJ102,498782.94,5403988.22,131.4546,0.172011,green,31.49,46.62,285.2894,23.14,0.0,0.0,0.0
WF-1-BJ103,498807.99,5403988.22,131.5188,0.172317,green,31.51,46.65,285.4398,23.14,0.0,0.0,0.0
