ID,X,Y,厚度Ti,弹模Ei,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ160,497831.05,5404296.22,26.43,25.0,80.63,291.6001,21.99,0.0,0.0,0.0
WF-1-BJ161,497806.00,5404296.22,27.33,25.0,80.42,291.1140,22.00,0.0,0.0,0.0
WF-1-BJ162,497780.95,5404296.22,28.26,25.0,80.21,290.6245,22.00,0.0,0.0,0.0
WF-1-BJ163,497755.90,5404296.22,29.30,25.0,80.00,290.1179,21.98,0.0,0.0,0.0
WF-1-BJ164,497730.85,5404296.22,30.34,25.0,79.79,289.6113,21.96,0.0,0.0,0.0
WF-1-BJ165,497705.80,5404296.22,31.27,25.0,79.75,288.9103,21.96,0.0,0.0,0.0
WF-1-BJ166,497680.75,5404296.22,32.08,25.0,79.90,287.9893,21.96,0.0,0.0,0.0
WF-1-BJ167,497655.70,5404296.22,32.90,25.0,80.04,287.0683,21.96,0.0,0.0,0.0
WF-1-BJ168,497630.65,5404296.22,33.26,25.0,80.92,285.0546,22.03,0.0,0.0,0.0
WF-1-BJ169,497605.60,5404296.22,33.49,25.0,82.00,282.7244,22.12,0.0,0.0,0.0
WF-1-BJ170,497580.55,5404296.22,33.68,25.0,83.20,280.2037,22.22,0.0,0.0,0.0
WF-1-BJ171,497555.50,5404296.22,33.41,25.0,85.57,275.5376,22.43,0.0,0.0,0.0
WF-1-BJ172,497530.45,5404296.22,33.14,25.0,87.94,270.8716,22.63,0.0,0.0,0.0
WF-1-BJ173,497505.40,5404296.22,32.86,25.0,90.74,265.1612,22.88,0.0,0.0,0.0
WF-1-BJ174,497480.35,5404296.22,32.57,25.0,94.23,257.8014,23.14,0.0,0.0,0.0
WF-1-BJ175,497455.30,5404296.22,32.27,25.0,97.71,250.4416,23.14,0.0,0.0,0.0
WF-1-BJ176,497430.25,5404296.22,32.23,25.0,101.79,241.0564,23.14,0.0,0.0,0.0
WF-1-BJ177,497405.20,5404296.22,32.32,25.0,106.12,230.7775,23.14,0.0,0.0,0.0
WF-1-BJ178,497380.15,5404296.22,32.40,25.0,110.45,220.4985,23.14,0.0,0.0,0.0
WF-1-BJ179,497355.10,5404296.22,33.10,25.0,115.55,206.9128,23.14,0.0,0.0,0.0
WF-1-BJ180,497330.05,5404296.22,33.80,25.0,120.64,193.3271,23.14,0.0,0.0,0.0
WF-1-BJ181,497305.00,5404296.22,34.70,25.0,125.89,178.9313,23.14,0.0,0.0,0.0
WF-1-BJ182,497279.95,5404296.22,36.03,25.0,131.48,162.6994,23.14,0.0,0.0,0.0
WF-1-BJ183,497254.90,5404296.22,37.36,25.0,137.07,146.4674,23.14,0.0,0.0,0.0
WF-1-BJ184,497229.85,5404296.22,38.70,25.0,142.01,131.7953,23.14,0.0,0.0,0.0
WF-1-BJ185,497204.80,5404296.22,40.07,25.0,146.53,118.1111,23.14,0.0,0.0,0.0
WF-1-BJ186,497179.75,5404296.22,41.43,25.0,151.05,104.4269,23.14,0.0,0.0,0.0
